controller,seed,final_mass,energy_cost,eei,unsafe_steps,completion,inband,governed_minutes,post_target_cmd_qfp_mean,post_target_applied_qfp_mean
td3_cc_no_governor,91,440.09725331921646,698.9627831799946,698.9627831799946,0.0,1.0,0.0,0.0,60.75317405251896,41.15494941262638
td3_cc_no_governor,92,440.1177360714005,708.1764019198632,708.1764019198632,0.0,1.0,0.0,0.0,62.21694071152631,43.16422935934628
td3_cc_no_governor,93,434.29324077479174,688.2034739691362,688.2034739691362,0.0,1.0,0.0,0.0,63.2674800327846,45.32406692504883
td3_cc_no_governor,94,440.1095782259844,715.5633763324679,715.5633763324679,0.0,1.0,0.0,0.0,57.04059039845186,41.608717525706574
td3_cc_no_governor,95,439.876732596228,704.6786506874568,704.6786506874568,0.0,1.0,0.0,0.0,59.81638403499828,45.19895365097943
td3_cc_with_governor,91,400.64438315312026,669.9109186772893,669.9109186772893,0.0,1.0,1.0,71.0,32.467600145760706,2.7432949290556063
td3_cc_with_governor,92,400.15002014608825,675.4079012331855,675.4079012331855,0.0,1.0,1.0,73.0,34.1559100466616,1.4300834206973807
td3_cc_with_governor,93,400.95596300887905,662.2673211218136,662.2673211218136,0.0,1.0,1.0,58.0,43.7676850599902,1.5502777099609375
td3_cc_with_governor,94,400.3479528235739,684.2311765157626,684.2311765157626,0.0,1.0,1.0,74.0,29.758181098629446,0.35162860645967375
td3_cc_with_governor,95,400.59964172777177,672.0295891625856,672.0295891625856,0.0,1.0,1.0,70.0,35.72221344008165,1.91079958747415
