decision_step,minute,c_uf,v_buf,c_aver,m_fp,price,q_uf,q_fp,q_fp_cmd,energy_cost_step,total_energy_cost,reward,safety_violation,fp_busy,fp_downtime_remain,fp_cycle_mass,fp_total_cycles,fp_batch_triggered
1,5,0.655417799949646,0.03888900205492973,0.655417799949646,0.20416130125522614,0.46000000834465027,2.3333401679992676,7.756181240081787,7.756181240081787,1.1548100725001744,1.1548100725001744,-1650.835167768632,False,False,0,0.20416129661816584,0,False
2,10,0.6571907997131348,0.039114005863666534,0.6571907997131348,0.4617714583873749,0.46000000834465027,2.3468403816223145,8.283446311950684,8.283446311950684,1.1558357834481345,2.3106458559483087,-1650.7826420399952,False,False,0,0.4617714617264307,0,False
3,15,0.6589865684509277,0.041014354676008224,0.6589865684509277,0.7311758399009705,0.46000000834465027,2.4608612060546875,8.580960273742676,8.580960273742676,1.1564923538478438,3.467138209796153,-1650.7714387631618,False,False,0,0.7311758170276755,0,False
4,20,0.6607834100723267,0.04310202971100807,0.6607834100723267,1.0157358646392822,0.46000000834465027,2.5861217975616455,9.26861572265625,9.26861572265625,1.1581679634277289,4.625306173223882,-1200.75779116084,False,False,0,1.0157358232724951,0,False
5,25,0.662571907043457,0.04506014287471771,0.662571907043457,1.315163254737854,0.46000000834465027,2.703608512878418,9.180659294128418,9.180659294128418,1.1579648026611284,5.783270975885008,-900.7427408753837,False,False,0,1.315163270283813,0,False
6,30,0.6643605828285217,0.045899104326963425,0.6643605828285217,1.623396873474121,0.46000000834465027,2.753946304321289,9.19472599029541,9.19472599029541,1.1580109785417945,6.941281954426801,-900.7339763188762,False,False,0,1.623396832095213,0,False
7,35,0.6661938428878784,0.042965907603502274,0.6661938428878784,1.9185649156570435,0.46000000834465027,2.5779545307159424,9.656058311462402,9.656058311462402,1.1592133747769438,8.100495329203744,-900.7481239740099,False,False,0,1.9185648953845174,0,False
8,40,0.6679878234863281,0.044899359345436096,0.6679878234863281,2.2219395637512207,0.46000000834465027,2.6939616203308105,9.482864379882812,9.482864379882812,1.1587570329876504,9.259252362191393,-900.7395066419346,False,False,0,2.221939583138823,0,False
9,45,0.669801652431488,0.04273943603038788,0.669801652431488,2.5177910327911377,0.46000000834465027,2.564366102218628,9.79530143737793,9.79530143737793,1.1596083315654568,10.418860693756852,-900.7477960054492,False,False,0,2.5177910760985087,0,False
10,50,0.6715742945671082,0.044361650943756104,0.6715742945671082,2.821254253387451,0.46000000834465027,2.661699056625366,9.597442626953125,9.597442626953125,1.1590653242443079,11.577926018001158,-900.7396956386904,False,False,0,2.821254229227976,0,False
