decision_step,minute,c_uf,v_buf,c_aver,m_fp,price,q_uf,q_fp,q_fp_cmd,energy_cost_step,total_energy_cost,reward,safety_violation,dry_run_violation,low_conc_violation,low_buffer_fp_guarded,fp_busy,fp_total_cycles
1,5,0.6560221910476685,0.0,0.6560221910476685,0.0,0.46000000834465027,0.0,0.0,7.159162521362305,0.0,0.0,-750.0,False,False,True,True,False,0
2,10,0.6582775712013245,0.0,0.6582775712013245,0.0,0.46000000834465027,0.0,0.0,7.30723762512207,0.0,0.0,-750.0,False,False,True,True,False,0
3,15,0.6605003476142883,0.0,0.6605003476142883,0.0,0.46000000834465027,0.0,0.0,7.381126403808594,0.0,0.0,-450.0,False,False,True,True,False,0
4,20,0.662691593170166,0.0,0.662691593170166,0.0,0.46000000834465027,0.0,0.0,7.193681716918945,0.0,0.0,0.0,False,False,False,True,False,0
5,25,0.6648522019386292,0.0,0.6648522019386292,0.0,0.46000000834465027,0.0,0.0,6.9709930419921875,0.0,0.0,0.0,False,False,False,True,False,0
6,30,0.6669833064079285,0.0,0.6669833064079285,0.0,0.46000000834465027,0.0,0.0,6.978416442871094,0.0,0.0,0.0,False,False,False,True,False,0
7,35,0.6690860390663147,0.0,0.6690860390663147,0.0,0.46000000834465027,0.0,0.0,6.8863525390625,0.0,0.0,0.0,False,False,False,True,False,0
8,40,0.6711615324020386,0.0,0.6711615324020386,0.0,0.46000000834465027,0.0,0.0,6.4222869873046875,0.0,0.0,0.0,False,False,False,True,False,0
9,45,0.6732104420661926,0.0,0.6732104420661926,0.0,0.46000000834465027,0.0,0.0,6.537693023681641,0.0,0.0,0.0,False,False,False,True,False,0
10,50,0.6752334833145142,0.0,0.6752334833145142,0.0,0.46000000834465027,0.0,0.0,6.471687316894531,0.0,0.0,0.0,False,False,False,True,False,0
11,55,0.6772310137748718,0.0,0.6772310137748718,0.0,0.46000000834465027,0.0,0.0,6.935792922973633,0.0,0.0,0.0,False,False,False,True,False,0
