minute,c_uf,c_aver,v_buf,m_fp,price,q_uf_actual,q_fp_actual,total_energy_cost,fp_busy
1,0.6541939587303403,0.6541939587303403,0.0,0.0,0.46,0.0,0.0,0.0,False
2,0.6546530456514275,0.6546530456514275,0.0,0.0,0.46,0.0,0.0,0.0,False
3,0.6551107793763872,0.6551107793763872,0.0,0.0,0.46,0.0,0.0,0.0,False
4,0.6555671660040361,0.6555671660040361,0.0,0.0,0.46,0.0,0.0,0.0,False
5,0.6560222116985143,0.6560222116985143,0.0,0.0,0.46,0.0,0.0,0.0,False
6,0.6564759227490199,0.6564759227490199,0.0,0.0,0.46,0.0,0.0,0.0,False
7,0.6569283056011076,0.6569283056011076,0.0,0.0,0.46,0.0,0.0,0.0,False
8,0.6573793668673086,0.6573793668673086,0.0,0.0,0.46,0.0,0.0,0.0,False
9,0.6578291133231167,0.6578291133231167,0.0,0.0,0.46,0.0,0.0,0.0,False
10,0.658277551890863,0.658277551890863,0.0,0.0,0.46,0.0,0.0,0.0,False
11,0.6587246896180224,0.6587246896180224,0.0,0.0,0.46,0.0,0.0,0.0,False
12,0.6591705336524256,0.6591705336524256,0.0,0.0,0.46,0.0,0.0,0.0,False
13,0.6596150912162106,0.6596150912162106,0.0,0.0,0.46,0.0,0.0,0.0,False
14,0.6600583695798413,0.6600583695798413,0.0,0.0,0.46,0.0,0.0,0.0,False
15,0.660500376128073,0.660500376128073,0.0,0.0,0.46,0.0,0.0,0.0,False
16,0.6609411183919482,0.6609411183919482,0.0,0.0,0.46,0.0,0.0,0.0,False
17,0.6613806040564084,0.6613806040564084,0.0,0.0,0.46,0.0,0.0,0.0,False
18,0.6618188409509517,0.6618188409509517,0.0,0.0,0.46,0.0,0.0,0.0,False
19,0.6622558370290293,0.6622558370290293,0.0,0.0,0.46,0.0,0.0,0.0,False
20,0.6626916004031058,0.6626916004031058,0.0,0.0,0.46,0.0,0.0,0.0,False
21,0.663126139351521,0.663126139351521,0.0,0.0,0.46,0.0,0.0,0.0,False
22,0.6635594623058593,0.6635594623058593,0.0,0.0,0.46,0.0,0.0,0.0,False
23,0.6639915778254919,0.6639915778254919,0.0,0.0,0.46,0.0,0.0,0.0,False
24,0.6644224945643376,0.6644224945643376,0.0,0.0,0.46,0.0,0.0,0.0,False
25,0.6648522213340732,0.6648522213340732,0.0,0.0,0.46,0.0,0.0,0.0,False
26,0.6652807671267782,0.6652807671267782,0.0,0.0,0.46,0.0,0.0,0.0,False
27,0.6657081411091262,0.6657081411091262,0.0,0.0,0.46,0.0,0.0,0.0,False
28,0.6661343525974421,0.6661343525974421,0.0,0.0,0.46,0.0,0.0,0.0,False
29,0.6665594110207066,0.6665594110207066,0.0,0.0,0.46,0.0,0.0,0.0,False
30,0.6669833258156506,0.6669833258156506,0.0,0.0,0.46,0.0,0.0,0.0,False
31,0.6674061063429654,0.6674061063429654,0.0,0.0,0.46,0.0,0.0,0.0,False
32,0.6678277618212882,0.6678277618212882,0.0,0.0,0.46,0.0,0.0,0.0,False
33,0.6682483012760978,0.6682483012760978,0.0,0.0,0.46,0.0,0.0,0.0,False
34,0.6686677335010781,0.6686677335010781,0.0,0.0,0.46,0.0,0.0,0.0,False
35,0.6690860668802915,0.6690860668802915,0.0,0.0,0.46,0.0,0.0,0.0,False
36,0.669503309277465,0.669503309277465,0.0,0.0,0.46,0.0,0.0,0.0,False
37,0.6699194679757899,0.6699194679757899,0.0,0.0,0.46,0.0,0.0,0.0,False
38,0.6703345496551104,0.6703345496551104,0.0,0.0,0.46,0.0,0.0,0.0,False
39,0.6707485603962029,0.6707485603962029,0.0,0.0,0.46,0.0,0.0,0.0,False
40,0.671161505885626,0.671161505885626,0.0,0.0,0.46,0.0,0.0,0.0,False
41,0.6715733915624155,0.6715733915624155,0.0,0.0,0.46,0.0,0.0,0.0,False
42,0.6719842227201797,0.6719842227201797,0.0,0.0,0.46,0.0,0.0,0.0,False
43,0.6723940045753428,0.6723940045753428,0.0,0.0,0.46,0.0,0.0,0.0,False
44,0.6728027423100289,0.6728027423100289,0.0,0.0,0.46,0.0,0.0,0.0,False
45,0.6732104408161053,0.6732104408161053,0.0,0.0,0.46,0.0,0.0,0.0,False
46,0.6736171045352775,0.6736171045352775,0.0,0.0,0.46,0.0,0.0,0.0,False
47,0.6740227373710078,0.6740227373710078,0.0,0.0,0.46,0.0,0.0,0.0,False
48,0.6744273426531932,0.6744273426531932,0.0,0.0,0.46,0.0,0.0,0.0,False
49,0.6748309231406964,0.6748309231406964,0.0,0.0,0.46,0.0,0.0,0.0,False
50,0.6752334812601835,0.6752334812601835,0.0,0.0,0.46,0.0,0.0,0.0,False
51,0.675635019280244,0.675635019280244,0.0,0.0,0.46,0.0,0.0,0.0,False
52,0.6760355394352057,0.6760355394352057,0.0,0.0,0.46,0.0,0.0,0.0,False
53,0.6764350440101657,0.6764350440101657,0.0,0.0,0.46,0.0,0.0,0.0,False
54,0.6768335353964234,0.6768335353964234,0.0,0.0,0.46,0.0,0.0,0.0,False
55,0.6772310159378773,0.6772310159378773,0.0,0.0,0.46,0.0,0.0,0.0,False
56,0.6776274878338404,0.6776274878338404,0.0,0.0,0.46,0.0,0.0,0.0,False
57,0.6780229530839623,0.6780229530839623,0.0,0.0,0.46,0.0,0.0,0.0,False
58,0.6784174134640125,0.6784174134640125,0.0,0.0,0.46,0.0,0.0,0.0,False
59,0.6788108705237499,0.6788108705237499,0.0,0.0,0.46,0.0,0.0,0.0,False
60,0.6792033256626651,0.6792033256626651,0.0,0.0,0.46,0.0,0.0,0.0,False
61,0.6795947801913372,0.6795947801913372,0.0,0.0,0.46,0.0,0.0,0.0,False
62,0.6799852353807567,0.6799852353807567,0.0,0.0,0.46,0.0,0.0,0.0,False
63,0.6803746925015999,0.6803746925015999,0.0,0.0,0.46,0.0,0.0,0.0,False
64,0.680763152855131,0.680763152855131,0.0,0.0,0.46,0.0,0.0,0.0,False
65,0.6811506179099871,0.6811506179099871,0.0,0.0,0.46,0.0,0.0,0.0,False
66,0.6815370893891007,0.6815370893891007,0.0,0.0,0.46,0.0,0.0,0.0,False
67,0.6819225693191405,0.6819225693191405,0.0,0.0,0.46,0.0,0.0,0.0,False
68,0.6823070600522259,0.6823070600522259,0.0,0.0,0.46,0.0,0.0,0.0,False
69,0.6826905642675724,0.6826905642675724,0.0,0.0,0.46,0.0,0.0,0.0,False
70,0.6830730849353757,0.6830730849353757,0.0,0.0,0.46,0.0,0.0,0.0,False
71,0.6834546252804263,0.6834546252804263,0.0,0.0,0.46,0.0,0.0,0.0,False
72,0.6838351887465897,0.6838351887465897,0.0,0.0,0.46,0.0,0.0,0.0,False
73,0.6842147789629398,0.6842147789629398,0.0,0.0,0.46,0.0,0.0,0.0,False
74,0.6845933997120651,0.6845933997120651,0.0,0.0,0.46,0.0,0.0,0.0,False
75,0.6849710547116284,0.6849710547116284,0.0,0.0,0.46,0.0,0.0,0.0,False
76,0.6853477474724999,0.6853477474724999,0.0,0.0,0.46,0.0,0.0,0.0,False
77,0.6857234812144513,0.6857234812144513,0.0,0.0,0.46,0.0,0.0,0.0,False
78,0.6860982588244264,0.6860982588244264,0.0,0.0,0.46,0.0,0.0,0.0,False
79,0.6864720828456528,0.6864720828456528,0.0,0.0,0.46,0.0,0.0,0.0,False
80,0.6868449556900593,0.6868449556900593,0.0,0.0,0.46,0.0,0.0,0.0,False
81,0.6872168797866197,0.6872168797866197,0.0,0.0,0.46,0.0,0.0,0.0,False
82,0.6875878576805474,0.6875878576805474,0.0,0.0,0.46,0.0,0.0,0.0,False
83,0.6879578920952075,0.6879578920952075,0.0,0.0,0.46,0.0,0.0,0.0,False
84,0.6883269859661352,0.6883269859661352,0.0,0.0,0.46,0.0,0.0,0.0,False
85,0.6886951424618876,0.6886951424618876,0.0,0.0,0.46,0.0,0.0,0.0,False
86,0.6890623649873092,0.6890623649873092,0.0,0.0,0.46,0.0,0.0,0.0,False
87,0.6894286571744352,0.6894286571744352,0.0,0.0,0.46,0.0,0.0,0.0,False
88,0.6897940228650662,0.6897940228650662,0.0,0.0,0.46,0.0,0.0,0.0,False
89,0.6901584660880934,0.6901584660880934,0.0,0.0,0.46,0.0,0.0,0.0,False
90,0.6905219910108751,0.6905219910108751,0.0,0.0,0.46,0.0,0.0,0.0,False
91,0.6908846018983988,0.6908846018983988,0.0,0.0,0.46,0.0,0.0,0.0,False
92,0.6912463030791676,0.6912463030791676,0.0,0.0,0.46,0.0,0.0,0.0,False
93,0.6916070989168794,0.6916070989168794,0.0,0.0,0.46,0.0,0.0,0.0,False
94,0.6919669937870848,0.6919669937870848,0.0,0.0,0.46,0.0,0.0,0.0,False
95,0.6923259920119913,0.6923259920119913,0.0,0.0,0.46,0.0,0.0,0.0,False
96,0.6926840978169284,0.6926840978169284,0.0,0.0,0.46,0.0,0.0,0.0,False
97,0.6930413153032916,0.6930413153032916,0.0,0.0,0.46,0.0,0.0,0.0,False
98,0.6933976484338613,0.6933976484338613,0.0,0.0,0.46,0.0,0.0,0.0,False
99,0.6937531010272543,0.6937531010272543,0.0,0.0,0.46,0.0,0.0,0.0,False
100,0.6941076768562323,0.6941076768562323,0.0,0.0,0.46,0.0,0.0,0.0,False
101,0.6944613797126518,0.6944613797126518,0.0,0.0,0.46,0.0,0.0,0.0,False
102,0.6948142134473086,0.6948142134473086,0.0,0.0,0.46,0.0,0.0,0.0,False
103,0.6951661819911883,0.6951661819911883,0.0,0.0,0.46,0.0,0.0,0.0,False
104,0.695517289363213,0.695517289363213,0.0,0.0,0.46,0.0,0.0,0.0,False
105,0.6958675396349058,0.6958675396349058,0.0,0.0,0.46,0.0,0.0,0.0,False
106,0.6962169369016658,0.6962169369016658,0.0,0.0,0.46,0.0,0.0,0.0,False
107,0.6965654852596117,0.6965654852596117,0.0,0.0,0.46,0.0,0.0,0.0,False
108,0.6969131887871086,0.6969131887871086,0.0,0.0,0.46,0.0,0.0,0.0,False
109,0.6972600515302182,0.6972600515302182,0.0,0.0,0.46,0.0,0.0,0.0,False
110,0.6976060774667383,0.6976060774667383,0.0,0.0,0.46,0.0,0.0,0.0,False
111,0.6979512704826148,0.6979512704826148,0.0,0.0,0.46,0.0,0.0,0.0,False
112,0.6982956343577833,0.6982956343577833,0.0,0.0,0.46,0.0,0.0,0.0,False
113,0.6986391727590927,0.6986391727590927,0.0,0.0,0.46,0.0,0.0,0.0,False
114,0.6989818892384649,0.6989818892384649,0.0,0.0,0.46,0.0,0.0,0.0,False
115,0.6993237872756713,0.6993237872756713,0.0,0.0,0.46,0.0,0.0,0.0,False
116,0.6996648703078155,0.6996648703078155,0.0,0.0,0.46,0.0,0.0,0.0,False
117,0.7000051417487497,0.7000051417487497,0.0,0.0,0.46,0.0,0.0,0.0,False
118,0.7003446050009707,0.7003446050009707,0.0,0.0,0.46,0.0,0.0,0.0,False
119,0.7006832634619956,0.7006832634619956,0.0,0.0,0.46,0.0,0.0,0.0,False
120,0.7010211204923161,0.7010211204923161,0.0,0.0,0.46,0.0,0.0,0.0,False
121,0.7013581793940403,0.7013581793940403,0.0,0.0,0.46,0.0,0.0,0.0,False
122,0.7016944433976791,0.7016944433976791,0.0,0.0,0.46,0.0,0.0,0.0,False
